Artist Name,Song Name,Days,Top 10 (xTimes),Peak Position,Peak Position (xTimes),Peak Streams,Total Streams,Release Date,Genre,Broad Genre
Martin Garrix ,Drown,1,0,146,0,295673,295673,2017/9/29,dutch edm,Electronic
Roddy Ricch ,don’t i,1,0,150,0,295623,295623,2015/6/2,melodic rap,Hip Hop
Agust D ,Burn It,1,0,119,0,295585,295585,2023/5/12,k-rap,Hip Hop
Playboi Carti ,No Time,1,0,141,0,295548,295548,2020/2/13,atl hip hop,Hip Hop
Logic ,In my lifetime,1,0,137,0,295528,295528,2022/6/17,conscious hip hop,Hip Hop
The Kid LAROI ,I WISH,1,0,139,0,295422,295422,2021/7/27,australian hip hop,Hip Hop
Agust D ,28,1,0,120,0,295408,295408,2024/3/22,k-rap,Hip Hop
Daddy Yankee ,PARA SIEMPRE,1,0,130,0,295314,295314,2023/8/31,latin hip hop,Hip Hop
Lil Pump ,ION,1,0,163,0,295027,295027,2019/2/22,emo rap,Hip Hop
PARTYNEXTDOOR ,TRAUMA,1,0,132,0,295007,295007,2022/6/3,r&b,R&B
Coldplay ,Champion Of The World,1,0,136,0,294777,294777,2019/11/22,permanent wave,Rock
Oliver Tree ,Life Goes On,1,0,151,0,294769,294769,2018/5/18,alternative hip hop,Hip Hop
Latto ,Big Energy,1,0,121,0,294577,294577,2021/9/24,trap queen,R&B
The Fray ,How to Save a Life,3,0,139,0,128632,294496,2005/9/13,neo mellow,Folk/Acoustic
Earl Sweatshirt ,Old Friend,1,0,121,0,294333,294333,2018/6/22,alternative hip hop,Hip Hop
Niall Horan ,Put A Little Love On Me,1,0,170,0,294170,294170,2020/3/13,pop,Pop
Lana Del Rey ,Dark But Just A Game,1,0,107,0,294134,294134,2021/3/19,art pop,Pop
Bad Bunny ,Ser Bichote,1,0,196,0,294112,294112,2018/12/23,reggaeton,Latin
Chance the Rapper ,The Man Who Has Everything,1,0,184,0,294070,294070,2018/11/30,chicago rap,Hip Hop
Wiz Khalifa ,Mr. Williams,1,0,143,0,294017,294017,2018/7/13,hip hop,Hip Hop
Hozier ,Swan Upon Leda,1,0,123,0,293959,293959,2022/10/7,irish singer-songwriter,Folk/Acoustic
BROCKHAMPTON ,THE LIGHT,1,0,134,0,293855,293855,2017/12/13,boy band,Pop
Logic ,Flawless,1,0,107,0,293830,293830,2022/9/9,conscious hip hop,Hip Hop
Offset ,54321,1,0,113,0,293826,293826,2022/8/19,atl hip hop,Hip Hop
The 1975 ,People,1,0,130,0,293759,293759,2020/1/10,modern alternative rock,Rock
Daddy Yankee ,REMIX,1,0,131,0,293710,293710,2022/8/12,latin hip hop,Hip Hop
Hailee Steinfeld ,Wrong Direction,1,0,125,0,293683,293683,2020/5/8,pop,Pop
YoungBoy Never Broke Again ,Sincerely,1,0,122,0,293599,293599,2017/2/3,baton rouge rap,Hip Hop
Eazy,E  BoyzNTheHood,4,0,193,0,77132,293511,2023/3/12,g funk,Hip Hop
NF ,Let Me Go,1,0,141,0,293348,293348,2023/4/7,hip hop,Hip Hop
Eminem ,Is This Love ('09),1,0,118,0,293311,293311,2022/8/5,detroit hip hop,Hip Hop
5 Seconds of Summer ,Take My Hand,1,0,124,0,293287,293287,1972,boy band,Pop
D'Angelo ,The Charade,3,0,77,0,117070,293165,2014/12/15,indie soul,R&B
The Beatles ,Eleanor Rigby  Remastered,3,0,140,0,104741,293083,1966/8/5,british invasion,Rock
Charlie Puth ,Cheating on You,1,0,134,0,292923,292923,2019/10/1,pop,Pop
Tom Petty and the Heartbreakers ,The Waiting,1,0,104,0,292894,292894,1981/5/5,album rock,Rock
Teyana Taylor ,Boomin,1,0,113,0,292802,292802,1996/1/1,alternative r&b,R&B
Ella Mai ,Gut Feeling,1,0,135,0,292777,292777,2018/10/12,r&b,R&B
